date,guests,is_holiday,day_of_week,month,is_weekend,days_since_start,guests_lag_1,guests_lag_7,guests_lag_14,guests_lag_28,guests_mean_7,guests_mean_14,guests_mean_28
2022-01-29,24,0,5,1,1,28,20.0,20.0,18.0,25.0,20.714285714285715,21.428571428571427,21.285714285714285
2022-01-30,25,0,6,1,1,29,24.0,24.0,23.0,24.0,21.285714285714285,21.857142857142858,21.25
2022-01-31,24,0,0,1,0,30,25.0,25.0,27.0,22.0,21.428571428571427,22.0,21.285714285714285
2022-02-01,16,0,1,2,0,31,24.0,18.0,22.0,25.0,21.285714285714285,21.785714285714285,21.357142857142858
2022-02-02,21,0,2,2,0,32,16.0,23.0,22.0,21.0,21.0,21.357142857142858,21.035714285714285
2022-02-03,22,0,3,2,0,33,21.0,15.0,25.0,18.0,20.714285714285715,21.285714285714285,21.035714285714285
2022-02-04,23,0,4,2,0,34,22.0,20.0,18.0,23.0,21.714285714285715,21.071428571428573,21.178571428571427
2022-02-05,22,0,5,2,1,35,23.0,24.0,20.0,17.0,22.142857142857142,21.428571428571427,21.178571428571427
2022-02-06,20,0,6,2,1,36,22.0,25.0,24.0,25.0,21.857142857142858,21.571428571428573,21.357142857142858
2022-02-07,26,0,0,2,0,37,20.0,24.0,25.0,18.0,21.142857142857142,21.285714285714285,21.178571428571427
2022-02-08,21,0,1,2,0,38,26.0,16.0,18.0,21.0,21.428571428571427,21.357142857142858,21.464285714285715
2022-02-09,20,0,2,2,0,39,21.0,21.0,23.0,17.0,22.142857142857142,21.571428571428573,21.464285714285715
2022-02-10,21,0,3,2,0,40,20.0,22.0,15.0,25.0,22.0,21.357142857142858,21.571428571428573
2022-02-11,15,0,4,2,0,41,21.0,23.0,20.0,15.0,21.857142857142858,21.785714285714285,21.428571428571427
2022-02-12,22,0,5,2,1,42,15.0,22.0,24.0,18.0,20.714285714285715,21.428571428571427,21.428571428571427
2022-02-13,16,0,6,2,1,43,22.0,20.0,25.0,23.0,20.714285714285715,21.285714285714285,21.571428571428573
2022-02-14,23,0,0,2,0,44,16.0,26.0,24.0,27.0,20.142857142857142,20.642857142857142,21.321428571428573
